Họ tên,Phòng ban,Vai trò,Username,Password
Hà Minh Tú,Ban giám đốc,Ban giám đốc,tu.ha,123456
Nguyễn Đức Anh,Kinh doanh,Trưởng Kinh doanh,anh.nd,123456
Trần Thu Hà,Kinh doanh,Nhân viên Kinh doanh,ha.tt,123456
Phạm Quốc Bảo,Sản xuất,Quản đốc/Trưởng Sản xuất,bao.pq,123456
Vũ Văn Xay,Sản xuất,Nhân viên/Kế hoạch Sản xuất,xay.vv,123456
Ngô Thị Lan,QC/ATTP,Trưởng QC/ATTP,lan.nt,123456
Trịnh Văn Kiểm,QC/ATTP,Nhân viên QC/ATTP,kiem.tv,123456
Cao Văn Thắng,Kho vận,Trưởng/Thủ kho,thang.cv,123456
Tạ Văn Lợi,Mua hàng,Trưởng bộ phận Mua hàng,loi.tv,123456
Võ Thị Kim Ngân,Mua hàng,Nhân viên Mua hàng,ngan.vtk,123456
Chu Thị Thanh Thảo,Kế toán,Kế toán trưởng,thao.ctt,123456
Dương Thị Ngọc,Kế toán,Kế toán viên,ngoc.dt,123456
Mai Thị Hồng Nhung,Hành chính - Nhân sự,Trưởng HCNS,nhung.mth,123456
Lâm Văn Trí,Bảo trì - Vệ sinh,Trưởng Bảo trì,tri.lv,123456
Admin ERP,Hệ thống,Quản trị hệ thống,admin,123456
